P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_LOG_G,Atmospheric_Retention,Long_Term_Stability,ESI
OGLE-2016-BLG-1227L b,250.00000000000003,13.9,916.4884472834237,3.4,0.03871695324778557,5771.8728782608305,4083.358695501778,0.09999999999999998,1.2559192582613907,4.2409446,17.985611999999996,1.2939289,0.09308840899999993,0.46157701000000007,3.4,3.4,3.4,3.4,15.778904755243616,143.78184892341915,254.56878502656275,Jovian,Unknown,0.4760358185962801,1.7019033925030227,0.0,0.21413342,0.0,0.0,Unknown,0.0,3.9880664811376896,42.83826908765665,100.0,24.897591325269882
Kepler-276 c,16.600000000000023,2.9,31.88400000000547,0.1993999999999998,0.0,1144.86,5779.0,1.1,1.03,2.3925171,5.724137899999999,1.9738407000000002,0.68063471,0.004928887099999946,0.1993999999999998,0.1993999999999998,0.1993999999999998,0.1993999999999998,20.490364999999997,541.98483,613.0299072265625,Neptunian,G,0.81470428,2.4370462,0.0,0.31698039,0.0,0.0,Hot,0.0,4.46,10.035704222661545,24.47513839009165,27.057740380076012
Kepler-829 b,5.100000000000023,2.11,6.883375599994906,0.06780000000000008,0.0,1073.76,5698.0,0.98,0.97,1.5546902,2.4170615999999967,1.1455267999999998,0.54290371,0.0011752483000000424,0.06780000000000008,0.06780000000000008,0.06780000000000008,0.06780000000000008,238.52868,1001.1171,1130.6044,Superterran,G,1.0964782,2.8272471,0.0,0.45955889,0.0,0.0,Hot,0.0,4.46,3.535962534729213,6.1834334690831145,13.174541940111876
K2-283 b,12.199999999999989,3.52,1.9210359999997308,0.02909999999999968,0.0057983738370239735,402.915,5060.0,0.89,0.82,1.8616952,3.465909100000001,0.9846332599999998,0.27972536000000003,0.0006966289400001102,0.02909999999999968,0.02909999999999968,0.02909999999999968,0.02909999999999968,353.35726,1104.4682,1248.6358642578125,Neptunian,K,0.29922645999999986,1.4769430999999997,0.0,0.44375963,0.0,0.0,Hot,0.0,4.56,3.8339570130936003,9.66868615875157,9.731774382055395
Kepler-477 b,4.939999999999998,2.07,11.11990700000024,0.09109999999999996,0.0,367.0,5240.0,0.87,0.79,1.5448215000000003,2.3864734,1.1528856999999997,0.55694962,0.0016256966999999012,0.09109999999999996,0.09109999999999996,0.09109999999999996,0.09109999999999996,51.16385300000002,681.30334,769.42507,Superterran,K,0.42461956,1.7593966999999997,0.0,0.38614964,0.0,0.0,Hot,0.0,4.58,5.162813505488122,21.454499175685633,19.990698582963255
TOI-1260 c,13.199999999999989,2.7599999999999993,7.49313400000392,0.06569999999999965,0.0,73.59770000000003,4227.0,0.68,0.67,2.1869176,4.782608700000001,1.7328292000000003,0.62783668,0.0017661961999999587,0.06569999999999965,0.06569999999999965,0.06569999999999965,0.06569999999999965,29.913639999999987,595.75408,673.88330078125,Neptunian,K,0.12912193000000016,0.9702055700000001,0.0,0.43192361,0.0,0.0,Hot,0.0,4.57,8.34492024580596,50.88213907583287,24.03827918678511
HD 149143 b,422.7139,13.6,4.071819999997388,0.052999999999999936,0.0167,73.28010000000006,5856.0,1.2,1.44,5.5751147,31.081904,2.2854341,0.16804662999999986,0.003681591399999906,0.0530073910000004,0.0521149000000003,0.053885099999999575,0.053001848000000074,797.0927,1353.4874,1535.473388671875,Jovian,G,2.2387210999999994,4.0398363,0.0,0.48438708,0.0,0.0,Hot,0.0,4.25,9.336540336248694,2.327887113763298,6.597040230775786
HD 99492 b,25.499999999999943,5.44,17.050300000002608,0.1200000000000001,0.034,18.2038,4929.0,0.85,0.82,2.1650635,4.6875,0.8616727900000001,0.15839573000000007,0.0036028875000000404,0.12006935999999957,0.11592000000000002,0.12408000000000019,0.12001735000000036,23.274946,559.40675,631.5716552734375,Neptunian,K,0.3349654400000004,1.5626574,0.0,0.44012025,0.0,0.0,Hot,0.0,4.57,8.815003169271094,34.60655523148895,16.728885699179312
nu Oph c,7838.3235,12.0,3180.600000000006,5.829,0.179,46.210699999999974,4887.0,2.61,12.240000000000002,25.557653,653.19362,54.432802,4.5360668,0.69063728,5.9223835,4.785609,6.872391,5.8525951,2.349002100000007,313.45519,354.01141357421875,Jovian,K,78.523563,23.925651,0.0,0.45841332,0.0,0.0,Hot,0.0,2.64,100.0,6.094487841821441,58.74054167651905
75 Cet b,787.89662,13.3,696.6199999999953,1.912,0.093,82.96129999999994,4809.0,1.92,10.380000000000003,7.6967751,59.240347,4.4541615,0.33489936,0.12890500000000005,1.9202684000000003,1.734184,2.089816,1.9140730000000001,14.220357000000035,493.87889,556.4276123046875,Jovian,G,51.760683,19.425122,0.0,0.57339188,0.0,0.0,Hot,0.0,2.69,35.569240207228425,3.350388556503398,23.94637931001073
